symbol,name,sector,active,source,source_date
AEFES,Anadolu Efes,,true,Borsa Istanbul quarterly snapshot,2026-06-19
AKBNK,Akbank,,true,Borsa Istanbul quarterly snapshot,2026-06-19
AKSA,Aksa Akrilik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
AKSEN,Aksa Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ALARK,Alarko Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ALFAS,Alfa Solar Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ALTNY,Altinay Savunma,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ANHYT,Anadolu Hayat,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ANSGR,Anadolu Sigorta,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ARCLK,Arcelik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ASELS,Aselsan,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ASTOR,Astor Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
BIMAS,Bim Magazalar,,true,Borsa Istanbul quarterly snapshot,2026-06-19
BRSAN,Borusan Boru,,true,Borsa Istanbul quarterly snapshot,2026-06-19
BRYAT,Borusan Yatirim,,true,Borsa Istanbul quarterly snapshot,2026-06-19
BTCIM,Bati Cimento,,true,Borsa Istanbul quarterly snapshot,2026-06-19
BUCIM,Bursa Cimento,,true,Borsa Istanbul quarterly snapshot,2026-06-19
CANTE,Can2 Termik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
CCOLA,Coca Cola Icecek,,true,Borsa Istanbul quarterly snapshot,2026-06-19
CIMSA,Cimsa,,true,Borsa Istanbul quarterly snapshot,2026-06-19
CWENE,CW Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
DOAS,Dogus Otomotiv,,true,Borsa Istanbul quarterly snapshot,2026-06-19
DOHOL,Dogan Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ECILC,Eczacibasi Ilac,,true,Borsa Istanbul quarterly snapshot,2026-06-19
EFOR,EFOR Yatirim,,true,Borsa Istanbul quarterly snapshot,2026-06-19
EGEEN,Ege Endustri,,true,Borsa Istanbul quarterly snapshot,2026-06-19
EKGYO,Emlak Konut GYO,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ENERY,Enerya Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ENJSA,Enerjisa Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ENKAI,Enka Insaat,,true,Borsa Istanbul quarterly snapshot,2026-06-19
EREGL,Eregli Demir Celik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ESEN,Esenboga Elektrik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
FROTO,Ford Otosan,,true,Borsa Istanbul quarterly snapshot,2026-06-19
GARAN,Garanti BBVA,,true,Borsa Istanbul quarterly snapshot,2026-06-19
GESAN,Girisim Elektrik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
GOLTS,Goltas Cimento,,true,Borsa Istanbul quarterly snapshot,2026-06-19
